customer_id,customer_name,account_type,transaction_amount,transaction_type,city
1,Victoria Davis,Current,22002.8655,Credit,Dominguezbury
2,John Weaver,Savings,19206.6945,Credit,Kimberlyshire
3,Jose Velasquez,Current,4624.651500000001,Credit,Petersonberg
4,Donald Mitchell,Savings,25868.199,Debit,Blairside
5,Tony Page,Current,12964.497,Credit,New Pamelatown
6,Melissa Campbell,Savings,27321.5565,Credit,Port Stacy
7,Kayla Butler,Savings,6923.8575,Debit,North Kyle
8,Deborah Watkins,Savings,17188.878,Debit,New Melanie
9,Nichole Bowers,Current,10709.317500000001,Debit,New Jerry
10,Amy Brown,Savings,33546.555,Debit,Lisatown
11,Ellen Hughes,Current,51160.525499999996,Credit,East Philipborough
12,James Stevenson,Savings,24341.540999999997,Credit,East Daniel
13,Steven Mann,Savings,11579.463,Credit,Reyesborough
14,Kayla Douglas,Current,26138.847,Credit,Osbornechester
15,Brittany Woods,Savings,5301.628500000001,Debit,North Laurie
16,Jill Carter,Savings,17363.9025,Debit,South Juan
17,Edward Faulkner,Savings,45797.094,Debit,South Dariusport
18,Kathryn Smith,Savings,33882.6705,Credit,New Matthewborough
19,Margaret Smith,Current,50252.307,Debit,Hamptonmouth
20,David Mercer,Current,13978.524,Debit,South Phyllis
21,Kelly Robinson,Savings,28813.3335,Credit,North Krystal
22,Jeffrey Brown,Savings,39849.5475,Credit,North Natalieshire
23,Kristi Rowe,Current,5667.417,Debit,West Ericfort
24,Christine Neal,Savings,50728.335,Debit,Lake Robertville
25,Scott Jennings,Savings,40812.9225,Debit,Ryanfurt
26,Shannon Guerrero,Current,35268.723000000005,Debit,Lake Taylorhaven
27,Antonio Jones,Current,477.5715,Credit,Cruzstad
28,Austin Hernandez,Savings,12555.658500000001,Credit,South Jean
29,Danielle Thompson,Savings,38822.5005,Credit,Williamsberg
30,Tiffany Beard,Current,35015.6835,Credit,Cherrymouth
31,Joshua Dixon,Savings,12020.8515,Debit,Micheleton
32,Yvette Morgan,Current,36493.2645,Debit,West Nicoletown
33,Jennifer Anderson,Current,28096.8555,Debit,Lake Joshuaport
34,Emily Richard,Savings,38672.613,Credit,North Timothybury
35,Todd Austin,Current,5400.948,Debit,New Martha
36,Zachary Rodriguez,Current,31025.274,Credit,Vargasfort
37,Russell Brandt,Current,44989.4865,Debit,North Christina
38,Dale Wallace,Current,40961.266500000005,Credit,Lake Angela
39,Michelle Weaver,Savings,21229.036500000002,Debit,Angelaside
40,Tracy Gonzalez,Current,28411.1205,Debit,Port Troy
41,Sheila Cohen,Savings,34335.5355,Debit,Robinfurt
42,Wendy Edwards,Current,48498.786,Credit,North Alexisville
43,Heather Rodriguez,Savings,372.50849999999997,Debit,Port Richardfort
44,Jeffrey Stewart,Current,39290.6325,Credit,West Elizabeth
45,Valerie Daniels,Current,36629.1975,Debit,Port Ianshire
46,Rachel Berry,Savings,7576.4535000000005,Debit,Port Aprilland
47,Gina Page,Current,41971.81800000001,Debit,Pughfort
48,Anthony Jackson,Current,11002.572,Credit,Rodriguezstad
49,Samuel Moss,Current,13555.836000000001,Credit,Amberstad
50,Dillon Bray,Current,11750.140500000001,Debit,New Mary
51,Rebekah Ochoa,Savings,7029.099,Debit,Stephenton
52,Frank Mathis,Current,1355.025,Debit,Brentfort
53,Isabel English,Current,15822.072,Credit,Huntberg
54,Trevor Hill,Savings,14273.154,Credit,New Jonathan
55,Nichole Miller,Savings,26861.561999999998,Debit,Ryanview
56,Meghan Thomas,Savings,15251.722500000002,Credit,Lake Sharonton
57,Steven Simmons,Savings,40780.719,Debit,Lake Cody
58,Kayla Rogers,Savings,17061.376500000002,Debit,Bautistaport
59,Lauren Martinez,Savings,34836.154500000004,Debit,Georgeburgh
60,Jeffrey Conrad,Savings,39582.731999999996,Debit,Tuckershire
61,Julian Vaughn,Savings,5375.853,Credit,Duranview
62,Jill Gregory,Savings,47316.80100000001,Debit,East Matthew
63,Robin Herring,Current,22665.6885,Debit,West Jayton
64,Kelly Miller,Savings,16312.264500000001,Credit,Joannefort
65,Rhonda Collins,Savings,34655.75400000001,Credit,Brownfurt
66,Wanda Richards,Savings,39076.632,Credit,South James
67,Lauren Mooney,Savings,16819.7295,Credit,Kennethmouth
68,Kevin Bennett,Current,35693.18550000001,Debit,New Jason
69,Ashlee Palmer,Current,34660.027500000004,Credit,Markhaven
70,Jacob Donaldson,Current,22564.6155,Credit,Loganstad
71,Linda Maxwell,Current,30392.670000000002,Debit,Webbbury
